timestamp,predicted_load_kw
2025-12-31 00:00:00,229.857
2025-12-31 01:00:00,233.905
2025-12-31 02:00:00,243.798
2025-12-31 03:00:00,239.015
2025-12-31 04:00:00,240.303
2025-12-31 05:00:00,240.907
2025-12-31 06:00:00,247.635
2025-12-31 07:00:00,272.529
2025-12-31 08:00:00,303.595
2025-12-31 09:00:00,340.097
2025-12-31 10:00:00,353.571
2025-12-31 11:00:00,372.947
2025-12-31 12:00:00,389.425
2025-12-31 13:00:00,401.915
2025-12-31 14:00:00,400.054
2025-12-31 15:00:00,389.339
2025-12-31 16:00:00,362.678
2025-12-31 17:00:00,341.098
2025-12-31 18:00:00,304.1
2025-12-31 19:00:00,281.577
2025-12-31 20:00:00,246.327
2025-12-31 21:00:00,228.494
2025-12-31 22:00:00,227.882
2025-12-31 23:00:00,236.106
